"","best$betas"
"bio1",0.0785004175909166
"bio10",0.0372668149092169
"bio11",0.0706816347386736
"bio16",-0.000273919788175118
"bio17",0.10455782045024
"bio6",0.221370470004521
"northamerica_elevation_cec_2023",0.000575026308626023
"I(bio10^2)",0.0045087187429536
"I(bio15^2)",0.000111733014155829
"I(bio16^2)",-5.77471713929061e-07
"I(bio18^2)",-2.27275739280334e-05
"I(bio3^2)",-0.000715530382735401
"I(bio4^2)",-2.71785844235518e-06
"I(bio5^2)",0.000314128940679009
"I(bio6^2)",-0.0203218921526053
"I(bio8^2)",-0.000386698033137175
